trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-201.48697781409572,"{0: 20, 1: 5, 2: 4, 3: 4, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-168.223496447776,"{0: 19, 1: 3, 2: 10, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,15,-29.638018347476642,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.07889462371678,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-136.61875570625287,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-210.50279769461167,"{0: 19, 1: 1, 2: 11, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.82893016318432,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-92.72766083238048,"{0: 23, 1: 7, 2: 2, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.39800081785398,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-267.25761358746473,"{0: 14, 1: 9, 2: 6, 3: 3, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.3494628301537,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-209.33958327469693,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.15953451626694,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.64796629874516,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-124.7825339438008,"{0: 25, 1: 2, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-208.48542204152554,"{0: 14, 1: 6, 2: 5, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.1550997222457,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.34035974296856,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-254.56832247995274,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 5}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.710822840586175,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,6,-107.48099187502348,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 2}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.8772448907537,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-225.71190025087913,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-183.4166930985713,"{0: 15, 1: 3, 2: 10, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.36287227914443,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.64502555581518,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-87.3616762120604,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,8,-45.42620740422244,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-139.46723483391804,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-35.12948266510945,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
